,true,pred,count_errors,mean_margin,aupnn_logit,aupnn_prob,mc_prob,mc_logit,mc_prob_top1,mc_logit_top1,aupnn_prob_top1,aupnn_logit_top1,mc_prob_top1_true,mc_logit_top1_true,aupnn_prob_top1_true,aupnn_logit_top1_true
35,4,9,13,1.240309788630559,0.01826990109223581,0.002050306397275246,0.0016750475915613997,0.01619505724654743,0.0011652833737360846,0.005991530533020262,0.0014371100584796848,0.005930989335935808,0.0008575406508707763,0.006571655484059631,0.0010878208536618352,0.006654666557621447
33,4,7,13,0.9406009087195764,0.01698394979421903,0.0023000060464255,0.002206991498286854,0.014998158225073206,0.0015367210368052153,0.005178740660015161,0.0016159929711227921,0.006305280428093162,0.0015210726952108074,0.0065046740839114076,0.0015705039885897617,0.006319846384800353
59,8,2,13,2.2982016710134654,0.017365117485706585,0.0014513765605582557,0.0013513554509839412,0.015546727137496802,0.0009583305228750758,0.004770011139603715,0.001029865947202724,0.005412055788418376,0.0009395296983317914,0.005025996002726785,0.0009969215983573665,0.0051794307879529915
6,1,2,11,3.4626313989812676,0.016883286562832854,0.001131351390088453,0.0010056197938116192,0.01484286463396111,0.0006992085889924422,0.0049671382346952,0.0007927541770697803,0.005702165294099864,0.00041414004439323704,0.004324608842249563,0.0004723863989849546,0.005741087508133819
51,6,8,11,1.5380829897793857,0.017820614982734975,0.0017313228454440366,0.0013507021609587546,0.016047340394421003,0.0009621173204239819,0.005292910997840446,0.001236362827264409,0.005048893730748728,0.0007639526408059456,0.005666884551332709,0.0010134636752560907,0.006130078722807436
54,7,2,10,2.9194580554962157,0.01627557082101698,0.0010962241051856473,0.0010148627961825375,0.01412453772500151,0.0006472602312896456,0.00497348438948387,0.0007642877716534295,0.00552577050402756,0.0006234527954887561,0.00447746363934125,0.0006350827261271898,0.00516929994337256
39,5,3,10,1.4502617359161376,0.01819871254265303,0.0019818410102743203,0.00149817502388029,0.01696449071168895,0.0010607782074657198,0.00607921276241535,0.00143860431126081,0.00622691432945425,0.0009601272620784185,0.0057322943350299705,0.0012889381439890103,0.00586920119822021
26,3,7,9,1.8976946671803792,0.01739102612353028,0.0017091919439229965,0.0014967712848171929,0.015607325153218332,0.0011100803220768678,0.005607538778955677,0.0012669751425467383,0.0063357422542240326,0.0008985513135976019,0.005104109308578856,0.0010115263583716598,0.0053223904946611555
65,9,0,9,0.7850173844231499,0.016895774131019854,0.002189660975192111,0.0017092305804705665,0.015039337488512146,0.0011392499759999666,0.004750752148942754,0.0015430822451080997,0.005531213142805567,0.0007800471357767821,0.004823876725923633,0.0010296164012591222,0.005419654099063688
32,4,6,9,1.6296643680996366,0.018161501114567064,0.0018559112666277776,0.0016583600000658887,0.01641969362066846,0.0011821922639177445,0.005541882348350311,0.0013483776613914108,0.006056460293216778,0.0006732866697549796,0.006384212420218456,0.0007643501028521671,0.0065531706333987775
36,5,0,8,2.144874930381775,0.018338057678192812,0.0017651013803287481,0.001740750907742884,0.016738314297981526,0.001260174407775541,0.006029511161614163,0.0012678283724198583,0.006341423257254026,0.0008879125430780319,0.006133629678515676,0.0007893112253895616,0.005797442339826325
34,4,8,8,2.8809576332569122,0.019641542108729426,0.0012758588546830164,0.0011573236757839857,0.017501081340014886,0.0008386534027948415,0.0051053377683273875,0.0009306128999355154,0.005190520314499688,0.00013313719303241497,0.006305969203822275,0.00014780360940522158,0.006867844320367975
